Scheme Name	Net Asset Value
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.1543
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.1466
	
	
	
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	20.3332
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.3079
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	19.1879
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.6175
	
	
	
DSP Corporate Bond Fund - Direct - Growth	14.1559
DSP Corporate Bond Fund - Direct - IDCW	11.5586
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.4348
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.1456
DSP Corporate Bond Fund - Regular - Growth	13.9751
DSP Corporate Bond Fund - Regular - IDCW	11.5228
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.4153
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.5148
	
	
	
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	92.6411
Franklin India Corporate Debt Fund - Growth	86.3593
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	16.7073
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	18.7230
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.4798
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	16.5667
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.4545
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.5462
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	14.8395
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	11.9493
	
	
	
HDFC Corporate Bond Fund - Growth Option	28.2594
HDFC Corporate Bond Fund - Growth Option - Direct Plan	28.7566
HDFC Corporate Bond Fund - IDCW Option	17.1073
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	17.6199
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.2811
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.1186
	
	
	
HSBC Corporate Bond Fund - Direct Annual IDCW	12.1142
HSBC Corporate Bond Fund - Direct Growth	67.3119
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.2824
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	19.7471
HSBC Corporate Bond Fund - Regular Annual IDCW	11.9192
HSBC Corporate Bond Fund - Regular Growth	63.5595
HSBC Corporate Bond Fund - Regular Quarterly IDCW	10.9305
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	16.5951
HSBC Corporate Bond Fund -Regular Plan - Bonus	24.1434
	
	
	
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	27.1497
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2327
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.0111
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	26.0193
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
